A graphic novel is a type of comic book usually with a long storyline similar to those of novels .,A graphic novel is a book made up of comics content .,Entertainment,0.57,1
"Duane Eddy ( born April 26 , 1938 ) was a Grammy Award-winning American rock guitarist .","Duane Eddy ( born April 26 , 1938 ) is an American guitarist .",Entertainment,0.45,1
"The movie is titled `` Percy Jackson & the Olympians : The Lightning Thief '' and was first shown in the United States on February 12 , 2010 .","It was adapted into a film named `` '' released in the United States on February 12 , 2010 .",Entertainment,0.58,1
He died of pneumonia a day before his 93rd birthday .,"He died in 2005 , one day before his 93rd birthday .",Entertainment,0.34,0
Snyder said that the movie would take inspiration from the comic `` The Dark Knight Returns '' .,"According to Snyder , the film would take inspiration from the comic `` The Dark Knight Returns '' .",Entertainment,0.55,1
"In 2010 , the population was about 23,000 by the census .","The population was 22,787 at the 2010 census .",Entertainment,0.24,0
"One day , in a lake near his house , the Laird of Lorntie went to help a woman he thought drowning , and a servant of his pulled him back , warning that it was a mermaid , and the mermaid screamed after him that she would have killed him if it were not for his servant .","In one story , the Laird of Lorntie went to aid a woman he thought was drowning in a lake near his house ; a servant of his pulled him back , warning that it was a mermaid , and the mermaid screamed at them that she would have killed him if it were not for his servant .",Entertainment,0.35,1
"He studied philosophy and literature , but after a year he returned to London .","He studied philosophy and literature , but after a year left for London .",Entertainment,0.25,0
There is a scene in which two men are talking .,"In one scene , two men are talking .",Entertainment,0.46,1
"While drifting across the region , upper-level winds calmed down enough for the tropical disturbance to strengthen and to develop into Tropical Depression Fifteen on October 13 .","While drifting across the region , upper-level winds diminished enough for the tropical disturbance to strengthen and to develop into Tropical Depression Fifteen on October 13 .",Entertainment,0.26,0
No Way Out ( 2005 ) was a professional wrestling pay-per-view show made by World Wrestling Entertainment ( WWE ) .,No Way Out ( 2005 ) was the seventh annual No Way Out pay-per-view event produced by World Wrestling Entertainment ( WWE ) .,Entertainment,0.82,1
"Jack Joseph Kruschen ( March 20 , 1922 – April 2 , 2002 ) was a Canadian-American movie , television , stage , voice , and radio actor who is known for his role as Dr. Dreyfuss in `` The Apartment '' .","Jack Kruschen ( March 20 , 1922 – April 2 , 2002 ) was a Canadian-born character actor who worked primarily in American film , television and radio .",Entertainment,0.45,1
He followed the migration of the international tourist set from the hotels of Nice or San Remo in winter to Swiss mountain resorts such as Rigi-Kulm and Lucerne in summer .,"Regular moves then followed , usually twice a year just ahead of the migration of the international tourist set from the hotels of Nice or San Remo in winter to Swiss mountain resorts such as Rigi-Kulm and Lucerne in summer .",Entertainment,0.25,0
"Mister Rogers ' Neighborhood , or just Mister Rogers , was an American children 's television series that was created and hosted by Fred Rogers .",Mister Rogers ' Neighborhood ( often shortened to simply Mister Rogers ) is an American half-hour children 's television series that was created and hosted by namesake Fred Rogers .,Entertainment,0.51,1
"According to SAG 's Mission Statement , the Guild was created to negotiate and enforce reasonable salaries , benefits , and working conditions for its performers ; collect compensation for exploitation of recorded performances by its members , and provide protection against unauthorized use of those performances ; and preserve and expand work opportunities for its members .","According to SAG 's Mission Statement , the Guild sought to : negotiate and enforce collective bargaining agreements that establish equitable levels of compensation , benefits , and working conditions for its performers ; collect compensation for exploitation of recorded performances by its members , and provide protection against unauthorized use of those performances ; and preserve and expand work opportunities for its members .",Entertainment,0.32,0
Aaron had trained this Lucario to use aura .,Aaron had trained this Lucario to manipulate .,Entertainment,0.32,0
The bombers were called back just in time .,The bombers were recalled just in time .,Entertainment,0.23,0
"The normal order of words in Interlingua is subject-verb-object , but one can use other orders if the meaning is clear :","The normal word order in Interlingua is subject–verb–object , though this may be relaxed where the sense is clear .",Entertainment,0.25,0
"As of 2007-10-10 , the most recent stable release of Linspire is version 6.0 which was released in October of 2007 .","The first public release of Lindows was version 1.0 , released in late 2001 .",Entertainment,0.36,1
"The savant syndrome is a rare condition in which people with neurodevelopmental disorders , notably autism spectrum disorders , and/or brain injuries , demonstrate profound and prodigious capacities and/or abilities far in excess of what would be considered normal .","Savant syndrome is a condition in which a person with a mental disability , such as an autism spectrum disorder , demonstrates profound and prodigious capacities or abilities far in excess of what would be considered normal .",Entertainment,0.22,0
"Egg died after a brief hospitalization in Lima , Peru , aged 74 .",He died after a brief hospitalization in 2014 .,Entertainment,0.25,0
The WWE European Championship is a former championship for World Wrestling Entertainment .,The WWE European Championship was a professional wrestling championship competed for in World Wrestling Entertainment .,Entertainment,0.72,1
"Stoddard died on January 29 , 2014 in Owen Sound , Ontario .",Stoddard died in Owen Sound in 2014 .,Entertainment,0.3,0
"When Nemorino hears Adina reading to her workers the story of Tristan and Isolde , he considers using a magic potion to gain Adina 's love .","When Nemorino hears Adina reading to her workers the story of Tristan and Isolde , he is convinced that a magic potion will help him to gain Adina 's love .",Entertainment,0.6,1
"Apart from EU members , third parties Turkey , Switzerland , Norway and the United States will also take part .","Apart from EU members , third parties Turkey , Switzerland , Norway , Canada and the United States also take part .",Entertainment,0.31,0
"On September 1 , 2014 , Shivers died in Venice , Florida , aged 93 .","On September 1 , 2014 , Shivers died in Venice , Florida .",Entertainment,0.32,0
"He hosted his own show , `` The George Wendt Show '' , before it was cancelled in April 1995 .","`` The George Wendt Show '' aired from March through April , 1995 .",Entertainment,0.6,1
Bernice Worden had been cut open & dressed out like a deer .,The torso was `` dressed out like a deer '' .,Entertainment,0.31,1
"In 1998 , Carey successfully got ABC to get an American version of `` Whose Line ? ''","In 1998 , Carey successfully lobbied ABC to get an American version of `` Whose Line Is It Anyway ? ''",Entertainment,0.6,1
"Jeremy Mullin , another IGN reviewer , disagreed with Mell and Rich ; he felt that the characters were not brilliantly done , though he noted that they introduced some drama and romantic tension usually not found on Nickelodeon , especially between Aang and Katara .","Jeremy Mullin , another IGN reviewer , felt that the characters were not brilliantly done , though he noted that they introduced some drama and romantic tension usually not found on Nickelodeon , especially between Aang and Katara .",Entertainment,0.76,1
"Quotes : `` I want that one ... '' , `` I do n't like it '' , `` I look a pillock '' , `` Yeah I know !","Catchphrase : Andy : `` I want that one ... '' , `` I do n't like it '' , `` I look a pillock '' , `` Yeah I know !",Entertainment,0.48,1
Lambert was married to Diane Lane from 1988 until they divorced in 1994 .,Lambert was married to Diane Lane from October 1988 to 1994 .,Entertainment,0.38,1
"Verhavert died from a heart attack on 26 July 2014 , aged 87 .",Verhavert died of a heart attack aged 87 in July 2014 .,Entertainment,0.4,0
"She was born in Huron , South Dakota to Andrew E. Buck and his wife , the former Jessie Mae Pierce .","Humphrey was born Muriel Fay Buck in Huron , South Dakota , daughter of Andrew E. Buck and his wife , the former Jessie Mae Pierce .",Entertainment,0.27,0
"Dale Evans ( October 31 , 1912 – February 7 , 2001 ) was an American writer , movie actress , and singer-songwriter .","Dale Evans ( October 31 , 1912 – February 7 , 2001 ) was an American writer , film star and singer-songwriter .",Entertainment,0.51,1
Both sets of lights are now recommended to be green by the International Civil Aviation Organization and Federal Aviation Administration .,Both sets of lights are now recommended to be white by the International Civil Aviation Organization and Federal Aviation Administration .,Entertainment,0.27,0
It is found in the region Rhône-Alpes in the Ain department in the east of France .,Curtafond is a commune in the Ain department in eastern France .,Entertainment,0.25,0
"Smith was born on 3 December 1952 in Chiswick , Middlesex , England .",Smith was born and brought up in Chiswick .,Entertainment,0.34,0
"There are four members in the band : Black Francis ( vocals , rhythm guitar ) , Joey Santiago ( lead guitar ) , Kim Deal ( bass guitar , vocals ) , and David Lovering ( drums ) .","The group currently consists of founders Black Francis ( lead vocals , rhythm guitar ) , Joey Santiago ( lead guitar ) , and David Lovering ( drums ) .",Entertainment,0.49,1
"Harry Lillis `` Bing '' Crosby ( May 3 , 1903 - October 14 , 1977 ) was an American singer and actor .","Harry Lillis `` Bing '' Crosby , Jr. ( May 3 , 1903 – October 14 , 1977 ) was an American singer and actor .",Entertainment,0.45,1
It is found in the region Provence-Alpes-Côte d'Azur in the Alpes-Maritimes department in the south of France .,Cuébris is a commune in the Alpes-Maritimes department in southeastern France .,Entertainment,0.3,0
"Alden was born on September 13 , 1924 in Fort Worth , Texas and died at the age of 87 on July 27 , 2012 from natural causes in Los Angeles .","Alden died at the age of 87 on July 27 , 2012 from natural causes in Los Angeles .",Entertainment,0.34,0
"It was first shown on November 30 , 2007 in Italian cinemas .","The film had premiere on November 30 , 2007 in Italian cinemas .",Entertainment,0.5,1
"She has a reported 3,500 songs in her repertoire .","She had a reported more than 3,500 songs in her repertoire .",Entertainment,0.63,1
This list is the name that were set aside for the 1988 Atlantic hurricane season .,This is the same list used for the 1982 season .,Entertainment,0.34,0
"Moncrieff is located in south east Queensland , and includes the central area of the Gold Coast , including Surfers Paradise .",Moncrieff is based on Surfers Paradise and the central portion of the Gold Coast .,Entertainment,0.52,0
The word `` furlong '' comes from Old English words `` furh '' ( `` furrow '' ) and `` lang '' ( `` long '' ) .,The name `` furlong '' derives from the Old English words ' ( furrow ) and ' ( long ) .,Entertainment,0.24,0
Feleppa died of an AIDS-related brain hemorrhage in 1993 .,"In 1993 , Feleppa died of an AIDS-related brain haemorrhage .",Entertainment,0.23,0
"On September 7 , 1996 , Shakur was shot several times in a drive-by shooting at the intersection of Flamingo Road and Koval Lane in Las Vegas , Nevada .","On September 7 , 1996 , Shakur was fatally shot in a drive-by shooting at the intersection of Flamingo Road and Koval Lane in Las Vegas , Nevada .",Entertainment,0.25,0
Paul McGann ( born November 14 1959 ) is an English actor .,Paul John McGann ( born 14 November 1959 ) is an English actor .,Entertainment,0.56,1
"Ashkenazy is now also conductor laureate of the Philharmonia , conductor laureate of the Icelandic Symphony Orchestra , and music director of the European Union Youth Orchestra .","Ashkenazy is also conductor laureate of the Philharmonia Orchestra , conductor laureate of the Iceland Symphony Orchestra , and music director of the European Union Youth Orchestra .",Entertainment,0.37,1
"In the United States , the single 's chart performance was almost as good as `` Yellow '' s. It reached number 23 on the `` Billboard '' Adult Top 40 and 28 on the `` Billboard '' Modern Rock Tracks .","In the United States , the single 's chart performance was nearly as successful as that of `` Yellow '' 's .",Entertainment,0.5,1
"Once the portal of entry , may be seen extensive gardens in the French style in the middle of fountains , waterfalls and lakes , and the main greenhouse of 458 square meters , which holds in its interior , copies plants characteristic of tropical regions .","Once by the portal of entry , one may see extensive gardens in the French style amidst fountains , waterfalls and lakes , and the main greenhouse of 458 square meters , which shelters in its interior , specimens of plants characteristic of tropical regions .",Entertainment,0.34,0
"Lawless stated that after the series finale , where Gabrielle revives Xena with a mouth-to-mouth water transfer filmed to look like a full kiss , she had come to believe that Xena and Gabrielle 's relationship was `` definitely gay ... there was always a 'well , she might be or she might not be ' but when there was that drip of water passing between their lips in the very final scene , that cemented it for me .","There was always a , `` Well , she might be or she might not be '' but when there was that drip of water passing between their lips in the very final scene , that cemented it for me .",Entertainment,0.51,1
Non-vascular plants include two quite different groups :,Non-vascular plants include two distantly related groups :,Entertainment,0.25,0
She was born and raised in Chile and has won many awards for her television work in Sweden .,She has won several awards for her work in television .,Entertainment,0.78,1
"Initially , the idea of Bionicle was faced with resistance from `` company traditionalists '' as Lego had `` no experience of creating the kind of story-based , multichannel brand that was being proposed . ''","Initially , the idea of Bionicle faced resistance from company traditionalists as Lego had no experience of creating a story-based brand of their own .",Entertainment,0.53,1
"She was born in Dayton , Ohio .","Gish was born in Dayton , Ohio .",Entertainment,0.29,0
The end of the video shows the band dropping their instruments and leaving .,"At the end , the band drops their instruments and leaves .",Entertainment,0.55,1
"Emiliano Díez ( born 26 August 1953 in Havana , Cuba ) is a Cuban movie and television actor .",Emiliano Díez ( born 26 August 1953 ) is a Cuban film and television actor .,Entertainment,0.63,1
"The album was produced by Stock , Aitken and Waterman , who also wrote nine of the ten songs .","The album was produced by Stock , Aitken and Waterman , who also wrote nine of the ten tracks on the album .",Entertainment,0.4,1
It is found in the region Rhône-Alpes in the Ain department in the east of France .,Sainte-Olive is a commune in the Ain department in eastern France .,Entertainment,0.25,0
"The song was featured as downloadable content in the 2007 video game , `` Rock Band '' .",The song was released as downloadable content for the video game `` Rock Band '' .,Entertainment,0.61,1
"She was born in Oberaula , Hesse , German Empire .","She was born in Oberaula , Hesse .",Entertainment,0.29,0
Bangladesh–Thailand relations refer are foreign relations between Bangladesh and Thailand .,Bangladesh–Thailand relations refer to foreign relations between Bangladesh and Thailand .,Entertainment,0.22,0
"In 1988 , her cancer came back , and she died in August at the Motion Picture & Television Country House and Hospital in Woodland Hills , California .","She died in August at the Motion Picture & Television Country House and Hospital in Woodland Hills , California .",Entertainment,0.54,1
"Large numbers of tourists visit Bondi Beach throughout the year , and many Irish and British tourists spend Christmas Day there .",Many Irish and British tourists spend Christmas Day at the beach .,Entertainment,0.67,1
"Davy Crockett , King of the Wild Frontier is a 1955 Walt Disney movie starring Fess Parker as Davy Crockett .","Davy Crockett , King of the Wild Frontier is a 1955 live-action Walt Disney adventure film starring Fess Parker as Davy Crockett .",Entertainment,0.88,1
"On November 11 , 2010 , Destroy Rebuild Until God Shows released their first song , `` If You Think This Song Is About You , It Probably Is . ''","released their first song , `` If You Think This Song Is About You , It Probably Is . ''",Entertainment,0.65,1
Appeal patron Dame Judi Dench : It presents a full programme of performances and is also open for public tours .,It presents a full programme of performances and is also open for public tours .,Entertainment,0.85,1
"It is fleshy in humans and mammals , the skin being held up by the chin and the jaws , and making the wall of the human mouth , touching the cheekbone below the eye .","Cheeks are fleshy in humans , the skin being suspended by the chin and the jaws , and forming the lateral wall of the human mouth , visibly touching the cheekbone below the eye .",Entertainment,0.27,0
Lightning Bar was inducted into the American Quarter Horse Association 's American Quarter Horse Hall of Fame in 2008 .,Lightning Bar was inducted into the AQHA 's American Quarter Horse Hall of Fame in 2008 .,Entertainment,0.46,1
The book was originally published with the title `` The Naked Lunch '' in Paris in 1959 by Olympia Press .,The book was originally published with the title `` The Naked Lunch '' in Paris in July 1959 by Olympia Press .,Entertainment,0.27,1
"Since they began in 1990 , the Q Awards have become one of Britain 's biggest and most advertised music awards , helped by the often bad behaviour of the celebrities who turn up .","Since they began in 1990 , the Q Awards have become one of Britain 's biggest and best publicised music awards .",Entertainment,0.42,1
It is found in the Rhône-Alpes region in the Ain department in the east of France .,Dommartin is a commune in the Ain department in eastern France .,Entertainment,0.24,0
"Anne Wills `` Willsy '' ( born 3 October 1944 in Wangaratta , Victoria , Australia ) is an Adelaide television and radio personality .","Anne Shirley ( `` Willsy '' ) Wills ( born 3 October 1944 in Wangaratta , Victoria ) is an Australian television and radio personality .",Entertainment,0.42,1
"He served three years , six months of a six-year sentence in federal prison before being released early to a Baltimore halfway house on June 8 , 2010 .","He served 43 months before being released on December 3 , 2010 .",Entertainment,0.3,0
During his childhood he tried to run away from home many times .,During his childhood he attempted to run away from home many times .,Entertainment,0.26,0
"Several television series were based on the `` Mario '' series of video games , started by Nintendo .","Several television series were produced that were based on the `` Mario '' series of video games , developed by Nintendo .",Entertainment,0.86,1
"In 1998 , Disney believed that `` Simba 's Pride '' would be so popular that it shipped 15 million copies to stores for the October 27 release date .","In 1998 , Disney believed that `` The Lion King II : Simba 's Pride '' would be so popular that it shipped 13 million copies to stores for the October 27 release date .",Entertainment,0.7,1
The band was chosen by Animal Collective to perform their album `` Up on the Sun '' live at the All Tomorrow 's Parties music festival in May 2011 .,The band was chosen by Animal Collective to perform the album 'Up on the Sun ' live in its entirety at the All Tomorrow 's Parties festival that they curated in May 2011 .,Entertainment,0.81,1
"Grisi played Giselle with Lucien Petipa as her lover Albrecht , M. Simon as the gamekeeper Hilarion , and Adèle Dumilâtre as Myrtha , the Queen of the Wilis .","Grisi danced Giselle with Lucien Petipa as her lover Albrecht , Jean Coralli as the gamekeeper Hilarion , and Adèle Dumilâtre as Myrtha , the Queen of the Wilis .",Entertainment,0.83,1
"Edward Phillip `` Ed '' O'Neill , Jr. ( born April 12 , 1946 ) is an American movie , television , stage , and voice actor who is known for his roles as Al Bundy in `` Married ... with Children '' and as Jay Pritchett in `` Modern Family '' .","Edward Philip `` Ed '' O'Neill , Jr. ( born April 12 , 1946 ) is an American actor .",Entertainment,0.46,1
The city is linked by highways to distant towns around Sabah and these are mainly federal roads maintained by the national Public Works Department .,The city is linked by highways to other towns in Sabah .,Entertainment,0.23,0
It is found in the region Nord-Pas-de-Calais in the Pas-de-Calais department in the north of France .,Ambrines is a commune in the Pas-de-Calais department in northern France .,Entertainment,0.27,0
"The idea goes back to when director Andrew Stanton was a child , when he loved going to the dentist to see the fish tank , assuming that the fish were from the ocean and wanted to go home .","The inspiration for Nemo sprang from multiple experiences , going back to when director Andrew Stanton was a child , when he loved going to the dentist to see the fish tank , assuming that the fish were from the ocean and wanted to go home .",Entertainment,0.64,1
"Bernstein died on September 18 , 2015 in California , aged 55 .",Bernstein died in September 2015 at the age of 55 .,Entertainment,0.31,0
"However , to prevent Choi Yuk from despairing too much from not remembering her and Jophy , he proposes and they get married .","However , to prevent Choi-Yuk from despairing too much from not remembering her and Jophy , he promises that some day he will propose to her and they will get married .",Entertainment,0.56,1
"Janice Doreen Dickinson ( who was born on February 15 , 1955 ) is an American model who was very popular in 1970s and 1980s .","Janice Doreen Dickinson ( born February 15 , 1955 ) is an American model , photographer , author and talent agent .",Entertainment,0.5,1
"In 1958 , they changed their name to the `` Daimai Orions '' , the `` Tokyo Orions '' in 1964 , the `` Lotte Orions '' in 1969 , and finally the Chiba Lotte Marines since 1992 .","In 1964 they became the Tokyo Orions , and the Lotte Orions in 1969 .",Entertainment,0.39,1
There is a list by letter at the end of this article .,There is an alphabetic list at the end of this article .,Entertainment,0.27,0
He is the current guitarist of the Swedish power metal band HammerFall and the former guitarist of The Poodles .,Karl Pontus Norgren is the current guitarist of the Swedish power metal band HammerFall and formerly played guitar for The Poodles .,Entertainment,0.31,1
"However , Twofish is not widely used like the Blowfish , which has been available for a longer period of time .","However , Twofish has seen less widespread usage than Blowfish , which has been available longer .",Entertainment,0.5,0
She appeared in 17 movies between 1951 to 1979 .,She appeared in 17 films between 1951 and 1979 .,Entertainment,0.6,1
"Riordan was born in San Antonio , Texas .","Riordan was born and raised in San Antonio , Texas .",Entertainment,0.34,0
"Unreleased material such as demos , mixtapes , bootlegs , and promo-only recordings do not in general have the significant independent coverage in reliable sources needed for independent notability .","Unreleased material ( including demos , mixtapes , bootlegs , promo-only recordings ) is only notable if it has significant independent coverage in reliable sources .",Entertainment,0.39,1
"In some countries , for example the United States of America , Tuesday is the third day of the week .","in the US ) , it is the third day of the week .",Entertainment,0.36,0
"The station , Tanah Merah Station ( EW4 ) was the station along East West MRT Line which was connected with the services towards Changi Airport MRT Station ( CG2 ) .",The station is part of the East West Line and is between Simei and Bedok .,Entertainment,0.25,0
The windows are narrow by comparison to their height and are without tracery .,The arched windows are usually narrow by comparison to their height and are without tracery .,Entertainment,0.24,0
"In 1998 she became one of only two actresses ( the other is Helen Mirren ) to win a Golden Globe Award , an Academy Award and an Emmy Award in the same year .","In 1998 she won a Golden Globe Award , an Academy Award and an Emmy Award in the same year .",Entertainment,0.71,1
"Often , the more formal the meals are , the more `` banchan '' there will be .","Usually , the more formal the meals are , the more `` banchan '' there will be .",Entertainment,0.29,0
"It is gray overall , and adults have a bright yellow head and rusty `` shoulder patch '' ( the lesser coverts ) .","It is gray overall , and adults have a bright yellow head and rufous `` shoulder patch '' ( the lesser coverts ) .",Entertainment,0.28,0
The guideline details why spoiler warnings are not used on Wikipedia .,The `` '' guideline details why spoiler warnings are no longer used on Wikipedia .,Entertainment,0.24,0
"The award is named after the American short story author , O. Henry .","The award is named after the American short story writer , O. Henry .",Entertainment,0.31,1
Santa 's Little Helper is a greyhound and is the Simpson family pet dog .,He is the pet greyhound of the Simpson family .,Entertainment,0.42,1
"`` The Reader '' was nominated for many Academy Awards , including a Best Picture nomination .",It was nominated for five Academy Awards including Best Picture .,Entertainment,0.35,1
"If co-op mode is enabled , Knight accompanies Bishop on missions , whose appearance also varies depending on how the player desires him/her to look .","If co-op mode is enabled , Knight accompanies Bishop on missions , whose appearance also varies depending on how the player desires them to look .",Entertainment,0.34,1
"Her father is Jewish and her mother is of English , Filipino and German descent .",Steinfeld 's father is Jewish and her mother is of part Filipino descent .,Entertainment,0.48,1
Fouquières-lès-Lens is a commune in the Nord-Pas-de-Calais region in the Pas-de-Calais department in the north of France .,Fouquières-lès-Lens is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Entertainment,0.25,0
"Hansen died at a hospital in Pocatello , Idaho , aged 83 .","In 2014 , he died at a hospital in Pocatello , Idaho , aged 83 .",Entertainment,0.3,0
"A wristwatch is designed to be worn on a wrist , attached by a strap or other type of bracelet .","A wristwatch is designed to be worn on a wrist , attached by a watch strap or other type of bracelet .",Entertainment,0.25,0
"Even though the song received mixed reviews , the single entered at number one on the UK Singles Chart and number two on the Irish Singles Chart .",The single entered at number one on the UK Singles Chart and number two in the Republic of Ireland .,Entertainment,0.51,1
"The last act ends with the refugees coming together on the English border , and , in the revised version , ends with a chorus of bards celebrating their victory over the cruel tyrant .","The last act begins with an assembly of refugees on the English border , and , in the revised version , ends with a chorus of bards celebrating victory over the tyrant .",Entertainment,0.64,1
Rikishi looked like he was going to eliminate Sexay but Scotty entered the match next and they danced to their music while the Rumble match was still ongoing .,Rikishi looked as if he was about to throw Sexay out but Scotty entered the match next and convinced him instead to dance to their music while the Rumble match was still ongoing .,Entertainment,0.45,1
"He shares a crypt within the Panthéon with Alexandre Dumas , père and Émile Zola .",He shares a crypt within the with and .,Entertainment,0.29,0
Sometimes `` Ribes '' is instead put in the family Saxifragaceae .,Sometimes `` Ribes '' is instead included in the family Saxifragaceae .,Entertainment,0.25,0
Lower growing varieties are suitable for hanging baskets and border plantings .,Lower-growing cultivars are suitable for hanging baskets and border plantings .,Entertainment,0.26,0
"At this point , the Dutchess County Fairgrounds are north of Route 308 .","At this point , the Dutchess County Fairgrounds are located just to the north of Route 308 .",Entertainment,0.33,0
His first major books of poetry were `` Voices of the Night '' ( 1839 ) and `` Ballads and Other Poems '' ( 1841 ) .,His first major poetry collections were `` Voices of the Night '' ( 1839 ) and `` Ballads and Other Poems '' ( 1841 ) .,Entertainment,0.31,1
"Björn Nils Olof Skifs ( born 20 April 1947 in Vansbro , Sweden ) is a Swedish singer , songwriter , actor , and screenwriter .","Björn Nils Olof Skifs ( born 20 April 1947 in Vansbro , Dalarna ) is a Swedish singer , songwriter , actor , and screenwriter .",Entertainment,0.58,1
Groundwater 's short stories have won awards also .,Groundwater 's short stories have won several contests .,Entertainment,0.47,1
sulci on Miranda are named after the places where plays by Shakespeare happen .,Mirandan coronae are named after the locations of plays by Shakespeare .,Entertainment,0.38,1
"Poems like these are called pastoral , after the term for herding .","These works are , indeed , called pastoral , after the term for herding .",Entertainment,0.25,0
"The centre 's first exhibition under this project was held in March 2012 , in Alice Springs .","His first solo exhibition was held in 2004 , in Melbourne .",Entertainment,0.46,1
"Doug Perry of IGN said that the voice acting is `` nothing really that cute , clever or memorable '' in the game , and believed that Crash 's voice in the game is very similar to that of Luigi from the `` Mario Kart '' series .","On the subject of the voice acting , he concluded that there is `` nothing really that cute , clever or memorable '' in the game , and noted that Crash 's voice in the game is extremely similar to that of Luigi from the `` Mario Kart '' series .",Entertainment,0.51,1
"The EP barely reached the Billboard charts , at # 196 .",The EP dented the Billboard charts at No .,Entertainment,0.76,1
"All users , including children , are allowed to make changes without an account and without giving out information about themselves .","All users , including children , are permitted to edit anonymously without submitting identifying information .",Entertainment,0.42,0
"Paula Cole ( born April 5 , 1968 ) is an American singer and songwriter .","Paula Cole ( born April 5 , 1968 ) is an American singer-songwriter .",Entertainment,0.41,1
"In the relatively few pages devoted to the Antarctic , Morrell 's account of his discovery is brief and entirely matter-of-fact , crediting it to Captain Johnson two years earlier rather than to himself .","Nor would he have credited it to Captain Johnson two years earlier , rather than to himself .",Entertainment,0.22,0
"As of the 2000 census , there were 58,779 people , 21,920 households , and 15,607 families residing in the county .","As of the 2010 census , the population was 67,044 .",Entertainment,0.24,0
Aubrey Brain ( born London 12 July 1893 ; died London 21 September 1955 ) was a British French horn player .,Aubrey Brain ( 12 July 189321 September 1955 ) was a British horn player and teacher .,Entertainment,0.37,1
"Roberto Alagna ( born near Paris , 7 June 1963 ) is a French operatic tenor .",Roberto Alagna ( ; ) ( born 7 June 1963 ) is a French tenor .,Entertainment,0.41,1
"The addition of caches reduces the frequency or duration of stalls due to waiting for data to be fetched from the main memory hierarchy , but does not get rid of these stalls entirely .","The addition of caches reduces the frequency or duration of stalls due to waiting for data to be fetched from the memory hierarchy , but does not get rid of these stalls entirely .",Entertainment,0.27,0
The last combined issue came out in December 1927 .,The last issue appeared in December 1932 .,Entertainment,0.3,0
The mountain is clear mostly because of fires set by early settlers .,It remains clear largely because of fires set by early settlers .,Entertainment,0.22,0
Her musical career started when she performed the opening act for American singer Smokey Robinson at a Stevie Wonder tribute concert .,"At the age of 12 , Jordan served as an opening act for Smokey Robinson at a Stevie Wonder tribute concert .",Entertainment,0.72,1
"His father has African-American , Jamaican , English , German , Jewish , and Cherokee background , and his mother is of Russian , French , Dutch , Syrian , and Lebanese ancestry .","His paternal grandparents had African-American , Jamaican , English , German , Jewish , and Cherokee ancestry .",Entertainment,0.32,0
"According to Frederick Hoxie 's 'Encyclopedia of North American Indians ' Crazy Horse was the third in his male line of descent to bear the name of Crazy Horse , which in Oglala is Tasunke Witko .","According to Frederick Hoxie 's `` Encyclopedia of North American Indians '' ( 1996 ) , Crazy Horse was the third in his male line to bear the name of Crazy Horse , which in Oglala is `` Tasunke Witko '' .",Entertainment,0.27,0
He also earned the title `` Harwood Butcher '' .,He also earned the title `` The Harwood Butcher '' .,Entertainment,0.33,0
Gröna Lund is an amusement park on the island of Djurgården in the town of Stockholm in Sweden .,"Gröna Lund ( ) is an amusement park in Stockholm , Sweden .",Entertainment,0.98,1
Some of these advertisements showed Jumbo in strange places like the opera house and a saloon in the Wild West .,Some of these advertisements depicted Jumbo in odd ( for him ) places like an opera house or a saloon in the Wild West .,Entertainment,0.69,1
"The album debuted at number one in 20 countries worldwide , and was the third-fastest selling album in UK chart history .",The album debuted at number one on the UK Albums Chart .,Entertainment,0.41,1
"Daniel Boone was born in Berks County , Pennsylvania , the son of Squire Boone and Sarah Morgan .","Daniel Boone was born there , the sixth of 11 children .",Entertainment,0.28,0
"Without the right tools and technique , matcha can become `` burnt '' and is not such good quality .","Without the correct equipment and technique , matcha can become `` burnt '' and suffer degraded quality .",Entertainment,0.22,0
She also worked with D.A.R.E.. She planned a fundraising concert to help AIDS patients .,and planned a fund raising concert to help AIDS patients .,Entertainment,0.76,1
Barnum hired Scotty to take care of Jumbo even though he had many elephant keepers in the United States .,"Barnum hired Scotty to tend Jumbo , even though the showman had many elephant keepers in the United States .",Entertainment,0.65,1
"In September 2010 , Avex Entertainment announced plans to suspend all of JYJ 's Japanese activities claiming this stemmed from issues the label had with the president of JYJ 's Korean management , C-JeS Entertainment .","Avex claimed this stemmed from issues the label had with the president of the group 's Korean management , C-JeS Entertainment .",Entertainment,0.73,1
"Pedreros Jorge Arnaldo Aviles ( August 8 , 1942 – September 14 , 2013 ) was a Chilean musician , record producer , actor , comedian .","Pedreros was born on August 8 , 1942 in Santiago , Chile .",Entertainment,0.34,1
"Queen Guinevere was angry with Lancelot for having a son with Elaine , so she said that she never wanted to see him again .",She is furious with him and tells him she never wants to see him again .,Entertainment,0.34,0
"The dessert is made of egg yolk , flour , sugar , salt , vanilla , and milk mixed into a thin dough .","The sweet dumplings are made of egg yolk , flour , sugar , and vanilla , mixed into a thin dough .",Entertainment,0.24,0
"Amar Ramasar ( born c. 1981 , The Bronx ) is a principal dancer of the New York City Ballet .","Amar Ramasar was born in the Bronx , New York City .",Entertainment,0.34,0
"Like the other `` Falco '' species , they have long wings and a long tail .","Like the other `` Falco '' species , they have long wings as well as a distinctive long tail .",Entertainment,0.25,0
