It was first published on 19 December 1843 by Chapman & Hall in London .,The book was published on 19 December 1843 .
"Additionally he stayed in Copenhagen ( 1926 ) with Niels Bohr and lectured on the atom at Harvard University , Cambridge , Massachusetts in 1928 .","Additionally , he stayed in Copenhagen ( 1926 ) with Niels Bohr and lectured on the atom at Harvard University ( 1928 ) ."
The lacey membranes of the endoplasmic reticulum were first seen in 1945 by scientists using an electron microscope .,The lacy membranes of the endoplasmic reticulum were first seen in 1945 using electron microscopy .
"The system moved west-northwestward , and by August 10 , the system had a broad surface trough with a little shower activity .","The system tracked west-northwestward , and by August 10 consisted of a broad surface trough with minimal shower activity ."
"Today , Purdue enrolls the second largest student body of any university in Indiana as well as the second largest international student population of any public university in the United States .",Purdue enrolls the second largest student body of any university in Indiana as well as the fourth largest international student population of any university in the United States .
"The evolutionary history of scorpions goes back to the Silurian , 430 million years ago .",The evolutionary history of scorpions goes back to the Silurian era 430 million years ago .
"The 2007 version was released on September 12 , 2006 .","The 2009 version was released for sale September 9 , 2008 ."
Oberhummer was professor emeritus of Theoretical Physics at the Atominstitut of the Vienna University of Technology .,Heinz Oberhummer was professor emeritus of Theoretical Physics at the Atominstitut of the Vienna University of Technology .
The Clarion Island subspecies is found just off the Pacific coast of Mexico .,"The Clarion Island subspecies is found only on Clarion Island , just off the Pacific coast of Mexico ."
"The largest , such as `` Jaekelopterus '' , reached 2½ metres in length , but most species were less than 20 cm ( 8 inches ) .","The largest , such as `` Jaekelopterus '' , reached in length , but most species were less than ."
"Chemists use 1,2-dibromoethane because its action can be monitored by the observation of bubbles of ethylene .","The use of 1,2-dibromoethane is particularly advantageous as its action can be monitored by the observation of bubbles of ethylene ."
"In 1657 , Wren was appointed professor of astronomy at Gresham College in London .",Professor of Astronomy Gresham College London ''
At the Voyager 2 images Rosalind appears as an almost spherical object .,In the Voyager 2 images Rosalind appears as an almost spherical object .
"The model says that a person can behave and appear to others in many ways , depending on how that person is , but also on how someone looks at that person .","The model states that a person can behave and appear to others in many ways , depending on how that person is , but also on how that person is viewed by the others ( scientists included ) ."
"The amount of ice in the south polar ice cap , if melted , would be enough to cover the entire planet 's surface 11 meters deep .","The volume of water ice in the south polar ice cap , if melted , would be sufficient to cover the entire planetary surface to a depth of ."
"In 1902 , Raman joined Presidency College in Madras where his father had become a lecturer in mathematics and physics .","In 1902 , Raman joined Presidency College in Madras where his father was a lecturer in mathematics and physics ."
Hurricane Opal was a major hurricane that formed in the Gulf of Mexico in September 1995 .,Opal formed in the Gulf of Mexico in September 1995 .
"The water opossum ( `` Chironectes minimus '' ) , also locally known as the yapok , an aquatic marsupial are member of the opossum family with black and grey waterproof fur , webbed hind feet and a backward-pointing pouch in both sexes .","The water opossum ( `` Chironectes minimus '' ) , also locally known as the yapok , is a marsupial of the family Didelphidae ."
It 's orbit seemed to be changing from an almost round outer solar system orbit to a stretched orbit taking it to the inner solar system .,It seemed to be in transition from a near-circular outer Solar System orbit to an eccentric orbit taking it to the inner Solar System .
Five new unusual moons discovered between 2002 and 2003 were announced in 2004 .,Five new irregular moons discovered between 2002 and 2003 were announced in 2004 .
"New spectrographs use electronic detectors , such as CCDs which can be used for both visible and UV light .","More recent spectrographs use electronic detectors , such as CCDs which can be used for both visible and UV light ."
"Essjay posted a reason in response to the first question , saying that :","Essjay posted a detailed explanation in response to the first inquiry , stating that :"
"Later that year , he detailed his work by publishing an extensive whitepaper on the effect of the pancreatic extract injected into a diabetic animal , which he called : `` Research on the Role of the Pancreas in Food Assimilation '' .","Later that year , he published `` Research on the Role of the Pancreas in Food Assimilation '' ."
"He predicted ( wrongly ) that Galton , rather than Charles Darwin , would be remembered as the most prodigious grandson of Erasmus Darwin .","He predicted that Galton , rather than Charles Darwin , would be remembered as the most prodigious grandson of Erasmus Darwin ."
"Compared to other species of boobies such as the blue-footed booby , siblicide always happens in the masked booby .","Compared to other species of boobies such as the blue-footed booby , siblicide is obligatory in the masked booby ."
"`` Cas9 '' has two active cutting sites , one for each strand of the DNA 's double helix .","It has two active cutting sites ( HNH and RuvC ) , one for each strand of the DNA 's double helix ."
"Lactation ( milk ) and fur , along with other features , also characterize the Mammaliaformes , though these traits are difficult to study in the fossil record .","Lactation , along with other characteristically mammalian features , is also thought to characterize the Mammaliaformes , but these traits are difficult to study in the fossil record ."
It has continued to grow in both scope and size every year .,"It began in 1987 , and has continued to grow in both scope and size every year ."
"It is the largest , oldest and deepest basin on the Moon .","It is the largest , oldest and deepest basin recognized on the Moon ."
"Anatomically modern humans first appear in the fossil record in Africa about 195,000 years ago , and studies of molecular biology give evidence that the approximate time of divergence from the common ancestor of all modern human populations was 200,000 years ago .","Anatomically modern humans first appear in the fossil record in Africa about 195,000 years ago ( see Omo remains ) , and studies of molecular biology give evidence that the approximate time of divergence from the common ancestor of all modern human populations was 200,000 years ago ."
Midway up the mountain are the telescopes of the Observatorio del Teide .,"On a ridge , to the east of Teide , are the telescopes of the Observatorio del Teide ."
`` Epidexipteryx '' is the earliest known example of ornamental feathers in the fossil record .,`` Epidexipteryx '' represents the earliest known example of ornamental feathers in the fossil record .
Bird banders have found that only 25 % of juvenile American robins live through their first year .,Bird banders have found that only 25 % of young robins survive the first year .
Sinodelphys is an extinct mammal from the Lower Cretaceous .,Sinodelphys is an extinct mammal from the Early Cretaceous .
Each color receptor respond to different ranges of the color spectrum .,Each color receptor responds to different ranges of the color spectrum .
"There has been recent research into varieties of mustards that have a high oil content for use in the production of biodiesel , a renewable liquid fuel similar to diesel fuel .","Recent research has studied varieties of mustards with high oil contents for use in the production of biodiesel , a renewable liquid fuel similar to diesel fuel ."
"Its main campus is in the Bloomsbury area of central London , with a number of institutes and teaching hospitals elsewhere in central London .","UCL 's main campus is located in the Bloomsbury area of central London , with a number of institutes and teaching hospitals elsewhere in central London ."
"Lorenz shared the 1973 Nobel Prize in Physiology or Medicine `` for discoveries in individual and social behavior patterns '' with two other important early ethologists , Niko Tinbergen and Karl von Frisch .",He shared the 1973 Nobel Prize in Physiology or Medicine with Nikolaas Tinbergen and Karl von Frisch .
"The organization has four major science disciplines : biology , geography , geology , and hydrology .","The organization has four major science disciplines , concerning biology , geography , geology , and hydrology ."
"Lorenz shared the 1973 Nobel Prize in Physiology or Medicine `` for discoveries in individual and social behavior patterns '' with two other important early ethologists , Niko Tinbergen and Karl von Frisch .","He shared the 1973 Nobel Prize in Physiology or Medicine `` for discoveries in individual and social behavior patterns '' with two other important early ethologists , Nikolaas Tinbergen and Karl von Frisch ."
"The first semifinal was held on May 20 , second semifinal on May 22 , and the final on May 24 .",The final was held on 24 May 2008 and was won by Russia .
"The research also placed the origin of modern human migration in south-western Africa , near the coastal border of Namibia and Angola .","The research also located the origin of modern human migration in south-western Africa , near the coastal border of Namibia and Angola ."
"On February 9 , 2009 , Amazon announced the Kindle 2 , which became available for purchase on February 23 , 2009 for the price of $ 359 , and lowered on July 8 , 2009 for $ 299 .","It became available for purchase on February 23 , 2009 ."
"It has also been a vagrant to Greenland , Jamaica , Hispaniola , Puerto Rico , and Belize .","This species has also occurred as a vagrant to Greenland , Jamaica , Hispaniola , Puerto Rico and Belize ."
"A species of particular concern is the slow-growing , deep water coral `` Lophelia pertusa '' .","A species of particular concern is the slow growing , deep water coral `` Lophelia pertusa '' ."
Pierre Marie ( 9 September 1853 – 13 April 1940 ) was a French neurologist .,Pierre Marie ( 9 September 1853 – 13 April 1940 ) was a French neurologist who was a native of Paris .
"Using his handcrafted microscopes , he was the first to see and describe single celled organisms , which he originally referred to as `` animalcules '' , and which we now refer to as microorganisms .","Using his handcrafted microscopes , he was the first to observe and describe microorganisms , which he originally referred to as `` animalcules '' ( from Latin `` animalculum '' = `` tiny animal '' ) ."
The female flowers have five separate carpels that can each form a woody fruit that has several seeds .,The female flowers have five separate carpels that can each form a woody fruit containing several seeds .
The next transits of Venus will be in December 2117 and December 2125 .,"The next transits of Venus will be on 10–11 December 2117 , and 8 December 2125 ."
"The class lasted barely 50 million years , in comparison to the 400 million year long history of sharks .","The class persisted in the fossil record for at least 70 million years , in comparison to the 400-million-year-long history of sharks ."
"The water issuing from a hot spring is heated by geothermal energy , i.e. , heat from the Earth 's mantle .","Water issuing from a hot spring is heated geothermally , that is , with heat produced from the Earth 's mantle ."
"At 115 and 125 km in diameter , Veritas and 92 Undina are the biggest of the 300-strong Veritas family of asteroids .","At 115 and 125 km in diameter , Veritas and 92 Undina are the largest of the 300-strong Veritas family of asteroids ."
This takes both the magnetic dipole moment due to the orbital angular momentum and the magnetic momentum arising from the electron spin into account .,Additionally taking into account the magnetic momentum arising from the electron spin .
"Clyde William Tombaugh ( February 4 , 1906January 17 , 1997 ) was an American astronomer known for discovering Pluto in 1930 .","Clyde William Tombaugh ( ; February 4 , 1906January 17 , 1997 ) was an American astronomer ."
"Also , the CSM was only fueled to a weight of instead of the lunar mission weight of .","Also , the CSM was only fueled to a weight of instead of the nominal lunar mission weight of ."
The South Pole–Aitken basin is a huge impact crater on the far side of Earth 's Moon .,The South Pole–Aitken basin is a huge impact crater on the far side of the Moon .
These latter appear to be chemoreceptors which help the worm seek out food .,"These latter appear to be chemoreceptors , and help the worm to seek out food ."
"North American herbivorous dinosaurs then included the titanosaur sauropod `` Alamosaurus '' , the ceratopsians `` Triceratops '' and `` Torosaurus '' , the pachycephalosaurs `` Pachycephalosaurus '' , `` Stygimoloch '' , `` Dracorex '' , and `` Stegoceras '' , the hadrosaurs `` Edmontosaurus '' and `` Anatotitan '' .","North American herbivorous dinosaurs from this time period include the titanosaur sauropod `` Alamosaurus '' , the ceratopsians `` Triceratops '' and `` Torosaurus '' , the pachycephalosaurs `` Pachycephalosaurus '' , `` Stygimoloch '' , `` Dracorex '' , and `` Stegoceras '' , and the hadrosaur `` Edmontosaurus '' ."
"About 2,600 species and subspecies are known , with the richest diversity in the Oriental ( Indo-Malayan ) region , followed by the Neotropics .","As of 2005 , about 2,600 species and subspecies were known , with the richest diversity in the Oriental ( Indo-Malayan ) region , followed by the Neotropics ."
"At the beginning of the period , 2023 million years ago ( mya ) , a large asteroid hit the earth and created the Vredefort impact structure .","At the very beginning of the period , 2023 Mya , a large asteroid collision created the Vredefort impact structure ."
"Chitons have a relatively good fossil record , stretching back 400 million years to the Devonian .","Chitons have a relatively good fossil record , stretching back to the Devonian ."
"The Whitetip reef shark is widely distributed across the entire Indo-Pacific region , and is common along coral reefs , but is also found over sandy flats , in lagoons , and near drop-offs to deeper water .",The Whitetip Reef Shark is distributed widely across the entire Indo-Pacific region .
The first woman to earn such a degree was Mary Lyndon .,The first white woman to earn such a degree was Mary Lyndon .
"Most other species are found in South America , China , and Southern Asia , New Guinea , four or more species in Australia and an endemic species in New Zealand .",Four or more species are also found in Australia and a single endemic species in New Zealand .
"Because the magnetic field of the Earth changes , the exact location of ths pole does as well. , placing it off the coast of Antarctica , between Adelie Land and Wilkes Land .","As of 2005 it was calculated to lie at , placing it off the coast of Antarctica , between Adelie Land and Wilkes Land ."
"Comparing the magnetic fields of the two planets , scientists think the extreme course may be characteristic of flows in the interior of the planet and not the result of Uranus ' sideways rotational movement .","In comparing the magnetic fields of the two planets , scientists now think the extreme orientation may be characteristic of flows in the planets ' interiors ."
Some scientists suggest that life may have begun on Earth in hydrothermal vents far below the ocean surface .,Some scientists even concluded that life may have begun on Earth in hydrothermal vents far under the ocean 's surface .
"These stars seemed to be orbiting around a hidden star as if they were double-stars but the second star could never be seen , only known by the colour changing Doppler effect .","These stars appeared to be orbiting around a hidden center of mass , and thus they were double-star systems ."
"Much more is known about the subsequent fall in phenotype frequency , because it was measured with moth traps .","Much more is known about the subsequent fall in phenotype frequency , as it has been measured by lepidopterists using moth traps ."
"The diet of caecilians is not known well , though it seems it mostly consists of insects and invertebrates found in the habitat of the respecitive species .",Mature caecilians seem to feed mostly on insects and other invertebrates found in the habitat of the respective species .
The walls are 1.2 m ( 4 ft ) thick at the base and 0.9 m ( 3 ft ) at the top .,The walls are 1.2 m ( 4 ft ) thick at the base reducing to under 0.9 m ( 3 ft ) at the top .
"After his return he began to concentrate his studies on microscopic organisms , which then were not much studied .","After his return he began to concentrate his studies on microscopic organisms , which until then had not been systematically studied ."
"A review published in 2008 found no documented reports of negative or positive health effects associated with the amount of taurine used in energy drinks , including Red Bull , concluding that `` The amounts of guarana , taurine , and ginseng found in popular energy drinks are far below the amounts expected to deliver either therapeutic benefits or adverse events .","A review published in 2008 found no documented reports of negative or positive health effects associated with the amount of taurine used in energy drinks , including Red Bull ."
"They show a bright , but relatively cool 50 million degree Celsius central region ( white ) embedded in large elongated cloud of 70 million degree Celsius gas ( magenta ) , all of which is boiling in a faint `` atmosphere '' of 100 million degree Celsius gas ( faint magenta and dark blue ) .","For the first time , the pressure fronts in the system have been traced in detail , and show a bright , but relatively cool 50 million degree Celsius central region ( white ) embedded in large elongated cloud of 70 million degree Celsius gas ( magenta ) , all of which is roiling in a faint `` atmosphere '' of 100 million degree Celsius gas ( faint magenta and dark blue ) ."
"Jarjis ( 25 May 1951 – 4 April 2015 ) was a Malaysian politician and the former Minister of Science , Technology and Innovation .","Jarjis ( 25 May 1951 – 4 April 2015 ) was a Malaysian politician and Minister of Science , Technology and Innovation ."
Most of the Form 7 students can study in the universities these years .,Most of the Form 7 graduates gain university admission these years .
"This experiment provided additional evidence that DNA , not protein , was the genetic material .","This experiment provided additional evidence that DNA , not protein , was the genetic material of life ."
"It was discovered through pictures by Richard M. West , of the European Southern Observatory , on August 10 , 1975 .","It was discovered photographically by Richard M. West , of the European Southern Observatory , on August 10 , 1975 ."
"This failed , but cleaning the flask with alcohol , Perkin noticed the alcohol had turned purple .","Cleaning the flask with alcohol , Perkin noticed purple portions of the solution ."
"The northern island contains many glaciers , while the southern one has a tundra landscape .","The Northern island contains many glaciers , while the Southern one has a tundra landscape ."
"William de Wiveleslie Abney ( 24 July 1843 – 3 December 1920 ) was an English astronomer , chemist , and photographer .","Sir William de Wiveleslie Abney , KCB , FRS ( 24 July 1843 – 3 December 1920 ) was an English astronomer , chemist , and photographer ."
"On September 8 , 1960 , U.S. President Dwight D. Eisenhower formally dedicated the Marshall Space Flight Center in Huntsville .","On September 8 , President Dwight D. Eisenhower formally dedicated the MSFC ."
3 in C minor `` was finished in November 1904 and published in 1905 .,3 was completed in November 1904 and published in 1905 .
"The spores are roughly sspherical , and about 3.5–5.5 µm in diameter , with fine warts and a pedicel that is 0.5–15 µm long .","Spores are roughly spherical , 3.5–5.5 µm in diameter , with fine warts and a pedicel that is 0.5–15 µm long ."
It was found on the same night ( 13 August 1898 ) by Gustav Witt in Berlin and Auguste Charlois at Nice .,Eros was discovered on 13 August 1898 by Gustav Witt in Berlin and Auguste Charlois at Nice .
"For example , a study of the Amitsoq gneisses from western Greenland used five different radiometric dating methods to examine twelve samples and got agreement to within 30 million years on an age of 3,640my .","For example , a study of the Amitsoq gneisses from western Greenland used five different radiometric dating methods to examine twelve samples and achieved agreement to within 30 Ma ( mega-annum ; million years ) on an age of 3,640 Ma ."
"He went to school at Yale University from 1964 until he graduated in 1968 , with a bachelor 's degree in history .","He attended Yale University from 1964 to 1968 , graduating with a B.A ."
"Oscar Hertwig ( 21 April 1849 , Friedberg , Hesse – 25 October 1922 , Berlin ) was a German zoologist and professor , who also wrote about the theory of evolution over 55 years after Charles Darwin 's `` The Origin of Species '' .","Oscar Hertwig ( 21 April 1849 in Friedberg – 25 October 1922 in Berlin ) was a German zoologist and professor , who also wrote about the theory of evolution circa 1916 , over 55 years after Charles Darwin 's book `` The Origin of Species '' ."
"In 1982 , Cech became the first to show that RNA molecules are not restricted to being passive carriers of genetic information they can have catalytic functions and can take part in cellular reactions .","In 1982 , Cech became the first to show that RNA molecules are not restricted to being passive carriers of genetic information – they can have catalytic functions and can participate in cellular reactions ."
"Histone modifications act in diverse biological processes such as gene regulation , DNA repair and chromosome condensation ( mitosis ) .","Histone modifications act in diverse biological processes such as gene regulation , DNA repair , chromosome condensation ( mitosis ) and spermatogenesis ( meiosis ) ."
The common allotrope of antimony is a blue-white metalloid .,The yellow allotrope of antimony is the most unstable .
"During this time , biochemist Edward Calvin Kendall has found several steroids created by the adrenal gland cortex .","During this same time , biochemist Edward Calvin Kendall has isolated several steroids from the adrenal gland cortex ."
"Some ribozymes may play an important role as therapeutic agents , as enzymes which target defined RNA sequences for cleavage , as biosensors , and for applications in genomics and gene discovery .","Attempts have been made to develop ribozymes as therapeutic agents , as enzymes which target defined RNA sequences for cleavage , as biosensors , and for applications in functional genomics and gene discovery ."
The eggs have one or more respiratory filaments near the front end ; the tips of these extend above the surface and allow oxygen to reach the embryo .,The eggs have one or more respiratory filaments near the anterior end ; the tips of these extend above the surface and allow oxygen to reach the embryo .
"The diameter is estimated at 72 km ( assuming albedo of 0.04 ) , making it the second biggest non-spherical moon of Uranus , half the size of Sycorax , the biggest non-spherical moon of Uranus .","Its diameter is estimated at 72 km ( assuming albedo of 0.04 ) making it the second largest irregular satellite of Uranus , half the size of Sycorax , the biggest irregular satellite of Uranus ."
"In allylic rearrangement , the reaction is ionic .","In allylic rearrangement , the reaction is indeed ionic ."
"For example , nonylmagnesium bromide reacts with methyl `` p '' -chlorobenzoate to give `` p '' -nonylbenzoic acid , in the presence of Tris ( acetylacetonato ) iron ( III ) , often symbolized as Fe ( acac ) , after workup with NaOH to hydrolyze the ester , shown as follows .","For example , nonylmagnesium bromide reacts with methyl `` p '' -chlorobenzoate to give `` p '' -nonylbenzoic acid , in the presence of Tris ( acetylacetonato ) iron ( III ) ( Fe ( acac ) ) , after workup with NaOH to hydrolyze the ester , shown as follows ."
It was released in November 2007 .,"It was released on October 31 , 2013 ."
A `` plug '' inside the instrument separates the slow air chamber from the sound chamber .,from the slow air chamber to the sound chamber .
RNA interference defends cells against foreign nucleotide sequences – viruses and transposons .,RNA interference has an important role in defending cells against parasitic nucleotide sequences – viruses and transposons .
"Some time in the next 1.5 billion–4.5 billion years , the axis 's tilt may begin to change into bad versions , with changes in the axis 's tilt of up to 90° .","Some time in the next 1.5–4.5 billion years , the axial tilt of the Earth may begin to undergo chaotic variations , with changes in the axial tilt of up to 90° ."
"Aruba , of the Netherlands Antilles ; Barbados ; all of the islands and cays of the Bahamas ; Belize ; Bermuda ; North and northeastern regions of Brazil ( though this is contested by some authors ) ; Old Providence Island in Colombia ; Costa Rica ; the Dominican Republic ; Panama ; Swan Islands in Honduras ; Jamaica ; Martinique ; Alacran Reef , Campeche , Cayos Arcas and Quintana Roo , in Mexico ; Puerto Rico ; Saint Barthélemy ; Mustique and Grenada in the Grenadines ; Pinar del Río , North Havana Province , North Matanzas , Villa Clara , Cienfuegos , Holguín , Santiago de Cuba and Guantánamo , in the Turks and Caicos Islands and Cuba ; South Carolina , Florida , including East Florida , West Florida , the Florida Keys and the Flower Garden Banks National Marine Sanctuary , in the United States ; Carabobo , Falcon , Gulf of Venezuela , Las Aves archipelago , Los Roques archipelago , Los Testigos Islands and Sucre in Venezuela ; St. Croix in the Virgin Islands .","Although the species undoubtedly occurs in other places , this species has been recorded within the scientific literature as occurring , in : Aruba , ( Netherlands Antilles ) ; Barbados ; the Bahamas ; Belize ; Bermuda ; North and northeastern regions of Brazil ( though this is contested ) ; Old Providence Island in Colombia ; Costa Rica ; the Dominican Republic ; Panama ; Swan Islands in Honduras ; Jamaica ; Martinique ; Alacran Reef , Campeche , Cayos Arcas and Quintana Roo , in Mexico ; Puerto Rico ; Saint Barthélemy ; Mustique and Grenada in the Grenadines ; Pinar del Río , North Havana Province , North Matanzas , Villa Clara , Cienfuegos , Holguín , Santiago de Cuba and Guantánamo , in the Turks and Caicos Islands and Cuba ; South Carolina , Florida , with the Florida Keys and Flower Garden Banks National Marine Sanctuary , in the United States ; Carabobo , Falcon , Gulf of Venezuela , Los Roques archipelago , Los Testigos Islands and Sucre in Venezuela ; St. Croix in the Virgin Islands ."
"The Trans-Mexican Volcanic Belt `` ( Eje Volcánico Transversal ) '' also known as the Transvolcanic Belt and locally as the Sierra Nevada ( Snowy Mountain Range ) , is a volcanic belt that extends 900 km from west to east across central-southern Mexico .","The Trans-Mexican Volcanic Belt `` ( Eje Volcánico Transversal ) '' , also known as the Transvolcanic Belt and locally as the Sierra Nevada ( Snowy Mountain Range ) , is a volcanic belt that covers central-southern Mexico ."
"Sense of smell : Frisch discovered that bees can distinguish various blossoming plants by their scent , and that each bee is “flower constant” .","Sense of smell : Frisch discovered that bees can distinguish various blossoming plants by their scent , and that each bee is `` flower constant '' ."
"It was made into the time of 9,192,631,770 periods of the radiation from the transition between the two hyperfine levels of the ground state of the caesium-133 atom .","the duration of 9,192,631,770 periods of the radiation corresponding to the transition between the two hyperfine levels of the ground state of the caesium-133 atom ."
"The maximum thickness of the Coppermine River flood basalts is and has 150 lava flows , each to thick .","The maximum thickness of the Coppermine River flood basalts is and consist of 150 lava flows , each to thick ."
"UCL is a major centre for biomedical research ; it is part of three of the 12 biomedical research centres established by the NHS in England and is a founding member of UCL Partners , the largest academic health science centre in Europe .",UCL is part of three of the 11 biomedical research centres established by the NHS in England and is a founding member of the Francis Crick Institute and the UCL Partners academic health science centre .
"The initial description of `` Incisivosaurus '' showed that the skull , about 10 cm in length ( 4 inches ) , had the most complete dentition known for any oviraptorosaur .","showed that the skull , which measures approximately 10 cm in length ( 4 inches ) , preserves the most complete dentition known for any oviraptorosaurian ."
"Belinda was found from the images taken by `` Voyager 2 '' on 1986 , and it was given the designation S/1986 U 5 .",Belinda was discovered from the images taken by `` Voyager 2 '' on 13 January 1986 and was given the temporary designation S/1986 U 5 .
"However , recent research has shown that at least some prokaryotes have microcompartments such as carboxysomes .","However , more recent research has revealed that at least some prokaryotes have microcompartments such as carboxysomes ."
The paper claims that the probability of truncated differentials attacks is 2 per block and that it will take about 2 chosen plaintexts ( 32 PiB worth of data ) to find a good pair of truncated differentials .,The paper claims that the probability of truncated differentials is 2 per block and that it will take roughly 2 chosen plaintexts ( 32 petabytes worth of data ) to find a good pair of truncated differentials .
Its surface is very reflective ( bright ) and what it 's made of is probably a mixture of nickel-iron with magnesium- and iron-silicates .,Its surface is highly reflective ( bright ) and its composition is probably a mixture of nickel–iron with silicates of magnesium and iron .
"Shantungosaurus , meaning `` Shandong Lizard '' , is a genus of hadrosaurid dinosaurs found in the Upper Cretaceous Wangshi Formation of the Shandong Peninsula in China .","Shantungosaurus , meaning `` Shandong Lizard '' , is a genus of saurolophine hadrosaurid dinosaurs found in the Late Cretaceous Wangshi Group of the Shandong Peninsula in China ."
The angle of the sun has also been found to influence the perceived colour of the lake .,Solar elevation has also been found to influence the perceived colour of the lake .
"For their achievements , they shared the 1975 Nobel Prize in Physiology or Medicine ( with Renato Dulbecco ) .","For their achievements , both shared the 1975 Nobel Prize in Physiology or Medicine ( with Renato Dulbecco ) ."
Honey containing tutin can be produced by honey bees feeding on honeydew produced by sap-sucking vine hopper insects ( `` Scolypopa australis '' ) feeding on tutu .,Honey containing tutin can be produced by bees feeding on honeydew produced by sap-sucking vine hopper insects ( `` Scolypopa '' genus ) feeding on tutu .
Some jelly fungi can be eaten raw ; poisonous jelly fungi are rare .,A number of the jelly fungi can be eaten raw ; poisonous jelly fungi are rare .
"The Xbox 360 was released in the United States and Canada on November 22 , 2005 in Europe on December 2 , 2005 , and in Japan on December 10 , 2005 .","The update was released on November 19 , 2008 ."
It is produced naturally by the `` Streptomyces '' genus of Actinobacteria .,It is produced by the `` Streptomyces '' genus of Actinobacteria .
Hair follicle nerve receptors sense the position of the hairs .,Hair follicle receptors sense the position of the hair .
The animals have weak musculature but maintain agility and buoyancy with little effort thanks to sophisticated statocysts ( balancing organs akin to a human 's inner ear ) and ammonium-rich gelatinous tissues closely matching the density of the surrounding seawater .,"The animals have weak musculature , but maintain agility and buoyancy with little effort because of sophisticated statocysts ( balancing organs akin to a human 's inner ear ) and ammonium-rich gelatinous tissues closely matching the density of the surrounding seawater ."
"The continental crust is the layer of granitic , sedimentary , and metamorphic rocks which form the continents and the areas of shallow seabed close to their shores , known as continental shelves .","The continental crust is the layer of igneous , sedimentary , and metamorphic rocks that forms the continents and the areas of shallow seabed close to their shores , known as continental shelves ."
This emission originates from high-velocity electrons oscillating in magnetic fields .,This emission originates from high-velocity electrons oscillating within magnetic fields .
He was born in London and attended the University of Cambridge .,He attended the University of Cambridge .
"The Lagoon was named after Lt. John Wainwright , who discovered the lagoon in 1826 .","Beechey , who both discovered the lagoon in 1826 ."
"Purines and pyrimidines are the two groups of nitrogenous bases , and the two groups of nucleotide bases .","Purines and pyrimidines make up the two groups of nitrogenous bases , including the two groups of nucleotide bases ."
The pigment cells are in a narrow band along the shell 's lip .,The pigment cells reside in a narrow band along the shell 's lip .
"With an annual budget of about US $ 6.87 billion ( fiscal year 2010 ) , the NSF funds approximately 20 percent of all federally supported basic research conducted by the United States ' colleges and universities .","With an annual budget of about US $ 7.0 billion ( fiscal year 2012 ) , the NSF funds approximately 24 % of all federally supported basic research conducted by the United States ' colleges and universities ."
"His research found only 30 purebred Akitas still alive , including Hachikō from Shibuya Station .","His research found only 30 purebred Akitas remaining , including Hachikō from Shibuya Station ."
Pikaia gracilens is regarded as the earliest known primitive chordate from the Middle Cambrian fossil found near Mount Pika in the Burgess Shale of British Columbia .,Pikaia gracilens is an extinct genus of chordate animal known from the Middle Cambrian Burgess Shale of British Columbia .
"The Hanson Hall of Science was dedicated in 1998 is the largest academic building serving about 700 students in 17 majors , minors and concentrations .","The science building , dedicated in 1998 , is the largest academic building serving approximately 700 students in 17 majors , minors and concentrations ."
"It has a long shelf-life and a distinctive sour flavor , both of which result from the lactic acid that forms when the bacteria ferment the sugars in the cabbage .","It has a long shelf life and a distinctive sour flavor , both of which result from the lactic acid that forms when the bacteria ferment the sugars in the cabbage ."
"Later the metal parts were obtained from the Netherlands , where the technology was far ahead of that in England , where the sawmill reamiend largely unknown until the late 18th century .","Later the metal parts were obtained from the Netherlands , where the technology was far ahead of that in England , where the sawmill remained largely unknown until the late 18th century ."
"Oxpeckers do eat ticks , but often the ticks that have already fed on the ungulate host and there has been no proven statistically significant link between oxpecker presence and reduced ectoparasite load .","Oxpeckers do eat ticks , but often the ticks have already fed on the ungulate host and no statistically significant link has been shown between oxpecker presence and reduced ectoparasite load ."
"In 1965 , he was the leader of a study team which came to the conclusion that smoking of tobacco cigarettes increased users ' intelligence .","In 1965 , Bovet led a study team which concluded that smoking of tobacco cigarettes increased users ' intelligence ."
Mercury is made of about 70 % metallic and 30 % silicate material .,Mercury consists of approximately 70 % metallic and 30 % silicate material .
It was released in November 2015 for Xbox 360 and Xbox One .,"It was released on January 26 , 2016 ."
Often an HOMO to LUMO change is made by an electron if it is allowed by the selection rules for electromagnetic transitions .,A HOMO to LUMO transition is made by an electron if it is allowed by the selection rules for electromagnetic transitions .
"In the United Kingdom , the entire series was shown on Sky One and BBC2 .","In the United Kingdom , the entire series aired on Sky1 and BBC Two ."
"When it eventually does catch up , Cruithne will make a series of annual close approaches to the Earth and gravitationally exchange orbital energy with Earth ; this will alter Cruithne 's orbit by a little over half a million kilometres so that its period of revolution around the Sun will then become slightly more than a year .","When it eventually does catch up , Cruithne will make a series of annual close approaches to the Earth and gravitationally exchange orbital energy with Earth ; this will alter Cruithne 's orbit by a little over half a million kilometres—while Earth 's orbit is altered by about —so that its period of revolution around the Sun will then become slightly `` more '' than a year ."
It was founded in 1938 in South Korea by Lee Byoung Chul .,It was founded in August 1974 .
Theodor Schwann ( 7 December 1810 – 11 January 1882 ) was a German scientist who isolated and named the enzyme pepsin .,Theodor Schwann ( 7 December 1810 – 11 January 1882 ) was a German physiologist .
