The first official complete sell out came at Revolution 14 and is now a regular occurrence .,The first official sell-out was Revolution 14 .
The first legs were played on 13 February and 14 February 2008 .,The second legs were played on 12 and 13 March 2008 .
"RVD climbed the ladder , but was stopped when Benjamin springboarded onto RVD and delivered each other blows back and fourth .","RVD climbed the ladder , but was stopped when Benjamin springboarded onto RVD and delivered each other blows back and forth ."
TSV 1860 München plays in the Allianz Arena which they share with their rival Bayern München .,"TSV 1860 München play their home matches in the Allianz Arena , which they share with city rivals Bayern Munich ."
Smith was the first person taken in the 2005 NFL Draft by the San Francisco 49ers .,"Smith was the first overall pick in the 2005 NFL Draft , selected by the San Francisco 49ers ."
"In late 2004 , Kramnik successfully defended his title against challenger Peter Leko in a drawn match played in Brissago , Switzerland .","In late 2004 , Kramnik successfully defended his title against challenger Péter Lékó in a drawn match played in Brissago , Switzerland ."
Goldberg is a studio host for College Football on FSN as well as calling preseason games for the Arizona Cardinals .,Goldberg was also the studio host for college football telecasts on FSN .
The 2009–10 NHL season was the 92nd season of the National Hockey League ( NHL ) and the 100th season since the founding of the predecessor National Hockey Association ( NHA ) .,"The 2009–10 NHL season was the 93rd season of operation ( 92nd season of play ) of the National Hockey League ( NHL ) , and the 100th season since the founding of the predecessor National Hockey Association ( NHA ) ."
"On 9 April 1998 , Mayall was injured in a quad bike accident near his home in Devon .","In 1998 , Mayall was involved in a serious quad bike accident ."
The goal of tennis is to hit the ball over the net into the other player’s court .,The ball must travel past the net into the other players ' court .
"Intentional walks are a strategic defensive maneuver , usually done to bypass one hitter for one the defensive team believes is less likely to initiate a run-scoring play ( e.g. , a home run , sacrifice fly , or RBI base hit ) , or to set up a double play or force out situation for the next batter .","Intentional walks are a strategic defensive maneuver , commonly done to bypass one hitter for one the defensive team believes is less likely to initiate a run-scoring play ( e.g. , a home run , sacrifice fly , or RBI base hit ) ."
"The Amalie Arena is an arena in Tampa , Florida , that has been used for ice hockey , basketball , and arena football games , as well as concerts .","Amalie Arena is an arena in Tampa , Florida , that has been used for ice hockey , basketball , and arena football games , as well as concerts ."
"A press conference was held on February 1 , 2010 at the Georgia Dome to officially announced the event for Atlanta ; this will be the first WrestleMania to be held in the state of Georgia .",The event marked the first time WrestleMania has been held in the state of Georgia .
Redding was drafted out of the University of Texas by the Detroit Lions with the 66th pick in the third round of the 2003 NFL Draft .,He was drafted by the Detroit Lions in the third round of the 2003 NFL Draft .
"Frank Wilson Truitt , Jr. , ( April 4 , 1925 – December 21 , 2014 ) was an American coach and a veteran of World War II .","Frank Wilson Truitt , Jr. , ( April 4 , 1925 – December 21 , 2014 ) was a multi-sport collegiate coach and a veteran of World War II ."
"Lemon played in more than 16,000 games for the Globetrotters and is a 2003 inductee of the Naismith Memorial Basketball Hall of Fame .",He was inducted into the Naismith Memorial Basketball Hall of Fame in 2003 .
Nihat Kahveci ( born 23 November 1979 ) is a Turkish football player .,Nihat Kahveci ( born 23 November 1979 ) is a Turkish former footballer .
"Luther Martin Nelson ( December 4 , 1893 – November 14 , 1985 ) was an American Major League Baseball pitcher .","Luther Martin Nelson ( December 4 , 1893 – November 14 , 1985 ) was a Major League Baseball pitcher ."
Bobby Hull • Phil Esposito • Gordie Howe,Johnny Bucyk • Phil Esposito • Ken Hodge
"in the series first released December 1 , 2008 in North America for the Xbox 360 .","series , released December 1 , 2008 in North America for the Xbox 360 ."
"Senna won from Nannini , Berger , Prost , Patrese and Boutsen .","Senna led from Mansell , Berger , Boutsen , Prost and Patrese ."
"In December 2008 , two male athletes were selected to travel to Germany for training , but only one of them would be at the Olympics .","In December 2008 , two male athletes ( Fuahea Semi and Taniela Tufunga ) were selected to travel to Germany for training , although only one of them would compete at the Olympics ."
"On July 21 , 2011 , Marlow and Parker defeated Calvin Raines and Big E. Langston to win the FCW Florida Tag Team Championship but lost the Tag Team Championship to Brad Maddox and Briley Pierce on November 3 .","On July 21 , 2011 , Marlow and CJ Parker defeated Calvin Raines and Big E Langston to win the FCW Florida Tag Team Championship ."
"Radim Bičánek ( born January 18 , 1975 in Uherské Hradiště , Czechoslovakia ) is a Czech professional ice hockey player who currently plays for the HC Kometa Brno of the Czech Extraliga .","Radim Bičánek ( born January 18 , 1975 ) is a Czech professional ice hockey defenceman currently playing for HC Karlovy Vary in the Czech Extraliga ."
"The club was founded in 1860 , the football section was founded on 25 April 1899 .",The club 's football plays in the 2 .
She also won the unofficial women 's compeitions in 1994 and 1996 .,and the unofficial women 's competitions in 1994 and 1996 .
"On July 28 , 2010 , Trotter left the Canadiens organization and North America to sign a two-year contract as a free agent with Latvian team Dinamo Riga of the KHL .","On July 4 , 2011 , Trotter signed a one-year , two-way contract to return with the Canadiens ."
"The first event was an In Your House pay-per-view event that took place on April 26th , 1998 and it featured the first ever Inferno match , the combatants were The Undertaker and his brother ( kayfabe ) Kane .",It started as an In Your House pay-per-view event in April and featured the Inferno match between The Undertaker and Kane .
"In addition to seeing seven different winners at the first seven races , the season also had the most races ever in a season with twenty , beating the last record of nineteen , which was first set in 2005 .","In addition to seeing seven drivers win the first seven races , the 2012 season broke several records ."
"Jean-Marie Pfaff , a former Belgian goalkeeper , is said to be one of the greatest in the history of football ( soccer ) .","Jean-Marie Pfaff , a former Belgian goalkeeper , is considered one of the greatest in the history of association football ."
John LeClair • Wayne Gretzky • Jaromir Jagr,John LeClair • Peter Forsberg • Jaromir Jagr
"The game is played by facing teams who strike , not catch , the ball with either a bare or gloved hand : every team include 3 , 4 or 5 athletes .",The game is played by facing teams who strike ( not catch ) the ball with either a bare or gloved hand .
Cuban athletes have never been in the Winter Olympic Games .,Cuba has yet to have hosted the Olympic Games .
"South China Athletic Association ( also known as South China , SCAA , ) is a Hong Kong sports club , best known for its football team .","South China Athletic Association ( also known as South China , SCAA , ) is a Hong Kong sports club , best known for its football team which plays in Hong Kong Stadium ."
He has won seven world championship titles and has the most Grand Prix victories in the world .,He also won the Macau Grand Prix .
No athletes from the Central African Republic have been at any Winter Olympic Games .,No athletes from the Central African Republic have competed in any Winter Olympic Games .
"Armageddon ( 2008 ) was a professional wrestling pay-per-view event made by World Wrestling Entertainment ( WWE ) , which took place on December 14 , 2008 at the HSBC Arena in Buffalo , New York .","It took place on December 14 , 2008 , at the HSBC Arena in Buffalo , New York ."
"During his freshman year , Stemke set the team punting record while averaging 43.9 yards per kick and in his sophomore year , he was able to make the first team in the Big Ten Conference .","In his sophomore year , he made the first team in the Big Ten Conference ."
"Denis Herron ( b. June 18 , 1952 in Chambly , Quebec ) is a former Canadian professional ice hockey goaltender who played for the Montreal Canadiens , Kansas City Scouts , and Pittsburgh Penguins in the National Hockey League .","Denis Bernard Herron ( born June 18 , 1952 in Chambly , Quebec ) is a former Canadian professional ice hockey goaltender who played for the Montreal Canadiens , Kansas City Scouts , and Pittsburgh Penguins in the National Hockey League ."
"Christian Soucy ( born September 14 , 1970 in Gatineau , Quebec ) is a Canadian retired ice hockey goaltender .","Christian Soucy ( born September 14 , 1970 in Gatineau , Quebec ) is a Canadian former professional ice hockey goaltender ."
He was soon elected in the Hockey Hall of Fame in 1966 .,He was elected into the Hockey Hall of Fame in 1966 .
"`` GP = Games Played , G = Goals , A = Assists , Pts = Points , PIM = Penalties In Minutes ''","`` GP = Games Played , G = Goals , A = Assists , Pts = Points ''"
"The club also lost the national finals in the years of 2005 , 2006 , 2007 , 2011 and 2012 .",The club became national champions again in 2015. and 2016 .
"Since 1990 , the building of a new U.S. Department of Transportation office complex and Nationals Park , the new USD $ 600 million stadium of the Washington Nationals Major League Baseball team , caused quick changes in the neighborhood .","The construction of the U.S. Department of Transportation office complex and Nationals Park , the 2008 $ 600 million stadium of the Washington Nationals Major League Baseball team , have stimulated growth in the neighborhood ."
He made his in ring return by losing to CM Punk by Disqualification when Ted Dibiase interfered .,Orton lost by disqualification when Rhodes interfered .
"Battles take place on the lower screen of DS , enemy party and player 's party are shown face to face .","Battles take place on the lower screen , where the enemy party and the player 's party are displayed on opposing sides ."
"After retiring , Manson became an assistant coach for the Prince Albert Raiders .",Since his retirement he has worked as an assistant coach with the Prince Albert Raiders .
"It was their first non-losing season since 1998 , even though they still failed to make the playoffs .","It was their first non-losing season since 1998 , though they still failed to make the playoffs ."
"Maurer 's interests include skateboarding , hip-hop , and cars .","Maurers interest include skateboarding , hip-hop , and cars ."
"Igor Borisovich Korolev ( September 6 , 1970 – September 7 , 2011 ) was a Russian ice hockey centre .","Igor Borisovich Korolyov ( ; September 6 , 1970 – September 7 , 2011 ) was a professional ice hockey player and coach ."
"By the early 1890s , Steinitz ' approach was more widely accepted and the next generation of top players acknowledged their debt to him , especially his successor as world champion , Emanuel Lasker .","By the early 1890s , Steinitz 's approach was widely accepted , and the next generation of top players acknowledged their debt to him , most notably his successor as world champion , Emanuel Lasker ."
"Over the season , Bishop recorded a record of 37–14–7 over the 63 games played that season .",Bishop posted a 37–14–7 record last in the 63 games played that season .
She was ranked World No .,Williams was ranked World No .
"He was then the manager of the Senators from 1929 to 1932 , and he managed the Cleveland Indians from 1933 to 1935 .",He later served as manager of the Senators from 1929 through 1932 and for the Cleveland Indians from 1933 through 1935 .
"On December 19 , 2014 , the Braves traded Upton along with Aaron Northcraft to the San Diego Padres in exchange for Max Fried , Jace Peterson , Dustin Peterson , and Mallex Smith .","On December 19 , 2014 , the Braves traded Upton and Aaron Northcraft to the San Diego Padres in exchange for Max Fried , Jace Peterson , Dustin Peterson , and Mallex Smith ."
The CAA was founded in 1979 when the Eastern College Athletic Conference ( ECAC ) split its basketball league into several conferences .,The CAA was founded in 1979 as the ECAC South basketball league .
"Dara Howell ( born August 23 , 1994 in Huntsville , Ontario ) is a Canadian freestyle skier .","Dara Howell ( born August 23 , 1994 ) is a Canadian freestyle skier ."
The National Olympic Committee for Burundi was started in 1990 and recognized by the International Olympic Committee in 1993 .,The National Olympic Committee for Burundi was created in 1990 and recognized by the International Olympic Committee in 1993 .
"Phil Robertson , an American football quarterback at Louisiana Tech University , was originally going to play professional football in the NFL .","Phil Robertson , a star football quarterback at Louisiana Tech University , founded the company rather than play professional football in the NFL ."
"Alexandre Ménard-Burrows ( born April 11 , 1981 ) is a Canadian professional ice hockey winger with the Vancouver Canucks of the National Hockey League ( NHL ) .","Alexandre `` Alex '' Ménard-Burrows ( born April 11 , 1981 ) is a French-Canadian professional ice hockey right winger and an alternate captain for the Vancouver Canucks of the National Hockey League ( NHL ) ."
"de Felipe gained one cap for Spain , playing the full 90 minutes in a 0–0 friendly with Turkey on 17 October 1973 , in Istanbul .","De Felipe gained one cap for Spain , playing the full 90 minutes in a 0–0 friendly with Turkey on 17 October 1973 , in Istanbul ."
Chuvalo was inducted into the Canadian Sports Hall of Fame in 1990 and the World Boxing Hall of Fame in 1997 .,George Chuvalo was inducted into the Ontario Sports Hall of Fame in 1995 .
"The club has also competed in Athletics , table tennis , cycling , racewalking , Nordic skiing , orienteering and gymnastics .","The club has also competed in athletics , table tennis , cycling , racewalking , Nordic skiing , orienteering and gymnastics ."
"Ranford also played net for the Edmonton Oilers alumni team at the Heritage Classic , the first outdoor regular season game in NHL history .","Ranford played net for the Edmonton Oilers alumni team at the 2003 Heritage Classic , the first outdoor regular-season game in NHL history ."
"Also , Orton delivered a double elevated DDT from the second rope to both Cena and Triple H simultaneously .",Orton also performed DDT from the second rope to both Cena and Triple H simultaneously .
"Kennedy spent his entire WHL career with the Broncos , helping the team capture the 1989 Memorial Cup .","Kennedy spent the rest of his WHL career with the Broncos , helping the team capture the 1989 Memorial Cup ."
"That season , Warner had a very good season , and on December 16 , 2008 , was named the starting quarterback for the NFC team in the 2009 Pro Bowl .","On December 16 , 2008 , Warner was named the starting quarterback for the NFC team in the 2009 Pro Bowl ."
"He competed in the 2011 INAS World Games , and won two silver medals in the 400 meters and the 4x100 meter relay .","He competed in the 2011 INAS World Games , winning a pair of silver medals in the 400 meters and the 4x100 meter relay ."
"It is scheduled to happen on April 3 , 2016 at AT & T Stadium in Arlington , Texas .","It took place on April 3 , 2016 , at AT & T Stadium in Arlington , Texas ."
An acting agent signed her nine months later .,An agent signed Alba nine months later .
Progona VBK is a volleyball club in the town of Gothenburg in Sweden .,"Progona VBK is a volleyball club in Gothenburg , Sweden ."
"He appears on Mets shows doing hosting and reporting for `` Mets Hot Stove '' , `` Mets Pre-Game Live '' , `` Mets Post-Game Live '' , and `` Mets Year in Review '' .","On SNY he has appeared on shows such as `` Mets Hot Stove '' , `` Mets Pre-Game Live '' , `` Mets Post-Game Live '' , and `` Mets Year in Review . ''"
Fogolin gave up the captaincy to Gretzky for the 1983–84 season onwards .,Fogolin was replaced as captain by Gretzky for the 1983–84 season onwards .
"Palin river one of the tributaries of River Subansiri flows through this town .The river ideal for river rafting , fishing and for picnics .","Palin river one of the tributaries of River Subansiri flows through this town.The river is ideal for river rafting , fishing and for picnics ."
He was a shortstop and leadoff hitter for the baseball team .,He was also a member of the tennis team .
"Frank `` Dapper Dan '' Daley ( August 22 , 1909 - October 15 , 1968 ) was a Canadian professional ice hockey player who played for the Detroit Cougars in the National Hockey League ( NHL ) .","Francis Patrick Denis `` Dapper Dan '' Daley ( August 28 , 1908 - October 15 , 1968 ) was a professional hockey player who played for the Detroit Cougars in the National Hockey League ."
"He also belongs to the Madrid Federation of Intellectual Disability Sports , and Club Sports Medicine Infant Jesus of Carmen Pardo-Valcarce Foundation .","He also is a member of the Madrid Federation of Intellectual Disability Sports , and Club Sports Medicine Infant Jesus of Carmen Pardo-Valcarce Foundation ."
He won the Golden Spikes Award in 2008 and was selected by the Giants with the fifth overall pick in the 2008 Major League Baseball Draft .,He won the Golden Spikes Award in 2008 and was selected by the Giants with the fifth overall pick in the 2008 Major League Baseball draft .
"The 1964 Summer Olympics , officially known as the Games of the XVIII Olympiad , were held in Tokyo , Japan from October 10 1964 , through October 24 1964 .","The 1964 Summer Olympics , officially known as the , was an international multi-sport event held in Tokyo , Japan , from October 10 to 24 , 1964 ."
"Also that night , Stone Cold and Kurt Angle faced off for the WWF Championship , and William Regal , who sat at ringside to ensure a fair match would take place , hit Kurt Angle with the championship , thereby backstabbing the WWF and costing Angle the title .","Also that night , Steve Austin and Kurt Angle faced off for the WWF Championship , and then-WWF Commissioner William Regal , who sat at ringside to ensure a fair match would take place , hit Kurt Angle with the belt , thereby backstabbing the WWF and costing Angle the title ."
"Raja Bell ( born September 19 , 1976 in Saint Croix , U.S. Virgin Islands ) is a basketball player who currently plays for the Utah Jazz in the National Basketball Association ( NBA ) .","Raja Bell ( born September 19 , 1976 ) is an American retired professional basketball player who played in the National Basketball Association ( NBA ) ."
"The tenth match of the event was the encounter of The Undertaker and Kane , which would be Undertaker 's first match since he was buried alive at Survivor Series 2003 .",The eleventh match of the event was the encounter between The Undertaker and Kane .
Dong Fangzhuo ( born 23 January 1985 ) is a Chinese football player .,Dong Fangzhuo ( ; born 23 January 1985 ) is a Chinese footballer who plays as a forward .
Joleon Patrick Lescott ( born 16 August 1982 ) is an English footballer who plays for Manchester City and the England national football team .,Joleon Patrick Lescott ( born 16 August 1982 ) is an English professional footballer who plays for Premier League club Aston Villa .
The following is a list of players of note that played their last game in the NHL in 2003–04 ( listed with their last team ) :,The following is a list of players of note who played their first NHL game in 2003–04 ( listed with their first team ) :
"New Zealand has achieved a Grand Slam ( defeating England , Ireland , Scotland , and Wales in one tour ) four times1978 , 2005 , 2008 and 2010 .","New Zealand have achieved a Grand Slam ( defeating England , Ireland , Scotland , and Wales in one tour ) four times1978 , 2005 , 2008 and 2010 ."
The main match on the undercard saw Rey Mysterio defeat Eddie Guerrero in a ladder match for the custody of Mysterio 's son Dominick .,The third match was a Ladder match between Eddie Guerrero and Rey Mysterio for the custody of Dominick .
Marciano was named fighter of the year by Ring Magazine three times .,Marciano was named fighter of the year by `` Ring '' three times .
"On June 28 , he hit the first home run of his career in a game against Henry Gruber .","On June 28 , he hit the first home run of his career in a game against Henry Gruber and the Cleveland Infants ."
"He made his debut with the Blackhawks on January 22 , 2006 against the Minnesota Wild .","Crawford made his NHL debut with the Blackhawks on January 22 , 2006 , against the Minnesota Wild ."
It has staged several other sports events including athletics meetings and international hockey matches .,"It has staged several other sporting events , including athletics meetings and international hockey matches ."
"In athletics , the two standard relays are the 4x100 meter relay and the 4x400 meter relay .","In athletics , the two standard relays are the 4x100 metre relay and the 4x400 metre relay ."
Airolo is also a small ski-resort with 30km of ski slopes .,Airolo is also home to a small ski-resort with of prepared slopes .
"There were a total of 51 matches played , three fewer than at the 2003 World Cup .",There were a total of 24 matches played in the group stage .
Money in the Bank ( 2014 ) was a professional wrestling pay-per-view show made by WWE .,Money in the Bank ( 2014 ) was a professional wrestling pay-per-view ( PPV ) event produced by WWE .
"Sheldon Kennedy ( born June 15 , 1969 ) is a Canadian retired professional ice hockey player .","Sheldon Kennedy ( born June 15 , 1969 ) is a Canadian former professional ice hockey player ."
"Wesley Carter Welker ( born May 1 1981 , in Oklahoma City , Oklahoma ) is an American football wide receiver for the Denver Broncos of the National Football League .","Wesley Carter `` Wes '' Welker ( born May 1 , 1981 ) is an American football wide receiver who is currently a free agent ."
Its symbol ( animal ) is the Griffon and its colours are scarlet ( red-purple ) and yellow / goldish yellow .,"Its mascot is the lion , and its colours are scarlet and gold ."
The men 's soccer team played seven seasons in the Swedish third division..,The men 's soccer team played seven seasons in the Swedish third division .
The IPC Alpine Sports Assembly Executive Committee can come to a decision about if skiers are having necessary qualities to race in IPC sanctioned events without thought or attention of what the rules say .,The IPC Alpine Sports Assembly Executive Committee can determine if skiers are eligible to compete in IPC sanctioned events at their own discretion regardless of what the rules say .
"However , biathlon usually refers specifically to the winter sport that combines cross-country skiing and rifle shooting .",Biathlon is a winter sport that combines cross-country skiing and rifle shooting .
"There are three leagues with the CHL : the Western Hockey League , the Ontario Hockey League , and the Quebec Major Junior Hockey League .",Quebec Major Junior Hockey League
Thompson helped to make common the technique of catching the puck as a method of making a save .,Thompson helped popularize the technique of catching the puck as a method of making a save .
Hardy returned to TNA on July 21 and was given a chance to fight for the NWA World Heavyweight Championship .,Hardy returned to TNA on July 21 and was awarded a shot at the NWA World Heavyweight Championship .
"The 2009 US Open was a tennis event played on outdoor hard courts , held between August 31 and September 14 , 2009 , at the USTA Billie Jean King National Tennis Center in Flushing Meadows , New York City , New York , United States .","The 2009 US Open was a tennis tournament played on outdoor hard courts , held from August 31 to September 14 , 2009 in the USTA Billie Jean King National Tennis Center at Flushing Meadows , New York City , United States ."
"During the 1951 season , Robinson led the National League in double plays made by a second baseman for the second year in a row , with 137 .","In 1950 , Robinson led the National League in double plays made by a second baseman with 133 ."
The first ICC World Twenty20 was played in South Africa in 2007 with India winning by five runs against Pakistan in the final .,The first tournament was in 2007 in South Africa where India defeated Pakistan in the final .
"In 1953 , she became the first woman to win all four Grand Slam titles in the same year .","In 1953 , she became the first woman to win all four Grand Slam tournaments during the same calendar year ."
"As of March 19 , 2009 , 806 players have played at least one game for the team , either in the NHL regular season or in the playoffs .","As of June 13 , 2011 , 831 players have played at least one game for the franchise , either in the NHL regular season or in the playoffs ."
"The St. Petersburg event was arranged in an unusual way : after a preliminary single-round all-play-all tournament of eleven players , the top five were to play a second stage in a double round format , with scores from the preliminary tournament carried forward to the second contest .","This event was arranged in an unusual way : after a preliminary single round-robin tournament involving 11 players , the top five were to play a second stage in double round-robin format , with total scores from the preliminary tournament carried forward to the second contest ."
"Early in the match , both Batista and Umaga exchanged blows and Batista threw Umaga outside with a shoulder block .","Early in the match , both Batista and Umaga exchanged blows and Batista knocked Umaga outside with a shoulder block ."
The statistics listed include the 2006–07 NHL season and the 2006–07 NHL playoffs Active skaters ( as of September 2007 ) are listed in boldface .,Active skaters ( during 2014–15 NHL season ) are listed in boldface .
"Also in 1992 , the Pro Football Hall of Fame gave Schenkel its Pete Rozelle Radio-Television Award .","Also in 1992 , the Pro Football Hall of Fame presented Schenkel with its Pete Rozelle Radio-Television Award ."
"`` Tony '' Hrkac ( ) ( born July 7 , 1966 in Thunder Bay , Ontario ) is a Canadian professional ice hockey centre currently playing for the Houston Aeros of the AHL .","Anthony John Hrkac ( ; born July 7 , 1966 ) is a retired Canadian professional ice hockey player of Croatian and Ukrainian ancestry ."
He was the number three cyclists to finish in the Road Trial LC4 race .,He was the number two cyclists to finish in the Road Trial LC4 race .
"After three seasons in Formula 3 , where he won four races , Hill ascended another tier of open-wheel racing by joining Mooncraft in the International Formula 3000 championship , where , although often competitive , he never won a race .","But although he progressed steadily up the ranks to the International Formula 3000 championship by 1989 , and was often competitive , he never won a race at that level ."
Josef Masopust ( 9 February 1931 – 29 June 2015 ) was a Czech football player .,Josef Masopust ( 9 February 1931 – 29 June 2015 ) was a Czech football player and coach .
"For their first two Games in 1908 and 1912 , New Zealand was with Australia in a combined `` Australasia '' team .","For its first two Games , in 1908 and 1912 , New Zealand competed with Australia in a combined `` Australasia '' team ."
"Joanne Meryl Bradshaw , OAM ( born 8 November 1961 ) is a disabled athlete from Australia .","Joanne Meryl Bradshaw , OAM ( born 8 November 1961 ) is an Australian Paralympic athlete ."
"The team moved to Denver , Colorado in 1995 and changed their name to the Colorado Avalanche .","The franchise was relocated to Denver , Colorado , in 1995 , and renamed the Colorado Avalanche ."
In 2012 she co-hosted the prestigious sports award show Idrettsgallaen from Hamar Olympic Amphitheatre together with Anne Rimmen .,In 2011 she hosted the prestigious sports award show Idrettsgallaen from Hamar Olympic Amphitheatre together with Erik Solbakken and in 2012 and 2013 with Anne Rimmen .
"In 2010 , he won the National League MVP Award , the National League Hank Aaron Award , as well as the Lou Marsh Trophy which is awarded annually to Canada 's top athlete of that year .","In 2010 , he won the National League ( NL ) MVP Award , the NL Hank Aaron Award , and the Lou Marsh Trophy as Canada 's athlete of the year ."
"Stone Cold came out to confront Vince about it , and Vince stated that Stone Cold would be the one to defect .","Steve Austin came out to confront Vince about it , and Vince stated that Austin would be the one to defect ."
It is the only NFL stadium shared by two teams .,MetLife Stadium is the only NFL stadium shared by two clubs .
The KNVB Cup ( ) is a competition in the Netherlands organized by the Royal Dutch Football Association ( KNVB ) since 1899 .,"The KNVB Beker ( , ) is a competition in the Netherlands organized by the Royal Dutch Football Association ( KNVB ) since 1898 ."
"Also at the pay-per-view , in the real Royal Rumble match , SmackDown !","At the same event , during the Royal Rumble match , SmackDown !"
This means the quicker skier down a hill may not be the first of an event .,This means the faster skier down a hill may not be the winner of an event .
"Toini Gustafsson Rönnlund , born `` Toini Gustafsson '' , 17 January 1938 in Suomussalmi , Finland ) is a Swedish former cross country skier .",Toini Gustafsson Rönnlund ( born `` Toini Karvonen '' on 17 January 1938 ) is a former Swedish cross country skier .
He won the 1983 World Junior Figure Skating Championships with his partner Tatiana Gladkova .,He is the 1983 World Junior champion with former partner Tatiana Gladkova .
"Walter Smith was born in Lanark , South Lanarkshire , and grew up in Carmyle in the east end of Glasgow as a boyhood fan of Rangers .","Smith was born in Lanark and grew up in the East End of Glasgow , and was a boyhood fan of Rangers ."
"Klaus was once an East German Olympic ski-jumper until his mind was transferred into the body of a goldfish during the 1986 Winter Olympics by the CIA to prevent him from winning the gold medal , leaving him trapped in the goldfish 's body .",The CIA did this to Klaus at the 1986 Winter Olympics to prevent him from winning the gold medal .
"Stade Wobi Bobo-Dioulasso is a stadium in Bobo Dioulasso , Burkina Faso .","Stade Wobi Bobo-Dioulasso is a multi-use stadium in Bobo-Dioulasso , Burkina Faso ."
He broke his elbow that season and decided to retire at its conclusion to concentrate on coaching full-time .,He broke his elbow that season and decided to retire at its conclusion to concentrate on coaching full time .
The club moved to 'Dens ' from their first stadium at Carolina Port in 1899 .,Dundee moved to `` Dens '' from their first stadium at Carolina Port in 1899 .
Peyton is the son of former NFL quarterback Archie Manning and the older brother of current New York Giants quarterback Eli Manning .,He is a son of former NFL quarterback Archie Manning and older brother of New York Giants quarterback Eli Manning .
He won important trophies with Borussia Mönchengladbach and FC Barcelona .,He further won important trophies with Borussia Mönchengladbach and FC Barcelona .
Farrelly 's inspiration into a professional wrestling career came from watching both British wrestling from ITV 's `` World of Sport '' and American wrestling from the World Wrestling Federation on Sky One .,Farrelly 's inspiration into a professional wrestling career came from watching both British wrestling from ITV 's `` World of Sport '' and American wrestling from the World Wrestling Federation ( WWF ) on Sky One .
"On August 10 , 2012 , he was traded from the Magic to the Los Angeles Lakers in a trade that also involved the Philadelphia 76ers and Denver Nuggets .","On August 10 , 2012 , Howard was traded from Orlando to the Los Angeles Lakers in a deal that also involved the Philadelphia 76ers and the Denver Nuggets ."
Ted Lindsay • Jean Beliveau • Gordie Howe,Ted Lindsay • Doug Bentley • Gordie Howe
The following year in April he received another set of try out matches in Milan and London against Galloway as well as Stu Sanders and WWE talent Jimmy Wang Yang and Monster Factory alumnus Domino .,"The following year in April , he received another set of tryout matches in Milan and London against Galloway , as well as Sanders , WWE talent Jimmy Wang Yang , and Monster Factory alumnus Domino ."
A knee drop is a move where a wrestler either jumps or falls down onto an opponent and drives their knee into anywhere on the opponent 's body .,An elbow drop is a move in which a wrestler jumps or falls down on an opponent driving his or her elbow into anywhere on the opponent 's body .
He has been named the Football Writers ' Association Footballer of the Year three times and the French Player of the Year four times since 2001 .,"He was also named the PFA Players ' Player of the Year twice , and the FWA Footballer of the Year three times ."
"Khalifa International Tennis and Squash Complex in Doha , Qatar , hosted the WTA Tour Championships in women 's tennis between 2008 and 2010 .",Khalifa International Tennis and Squash Complex in Doha hosted the WTA Tour Championships in women 's tennis between 2008 and 2010 .
"He first joined Konami on September 21 , 1993 .","Yamaoka joined Konami on September 21 , 1993 ."
"Henry `` Hank , Red '' Bassen ( December 6 , 1932 – May 29 , 2009 ) was a Canadian professional ice hockey goaltender that spent most of his NHL career as a back-up goalie playing for the Chicago Black Hawks , Pittsburgh Penguins and Detroit Red Wings .","Henry `` Hank , Red '' Bassen ( December 6 , 1932 – May 29 , 2009 ) was a Canadian ice hockey goaltender ."
He finished second in the 50 meter freestyle race .,He finished fourth in the 50 meter freestyle race .
"From this album , his first single `` The A Team '' has been recently nominated as the ‘Song of the Year’ for the 2013 Grammy Awards .",`` The A Team '' received a nomination for Song of the Year at the 2013 Grammy Awards .
He won the Bobby Smith Trophy in 1985-86 and became the first goaltender in Ontario Hockey League history to score a goal .,Clifford became the first goaltender in Ontario Hockey League history to score a goal .
"The Bears then scored 3 touchdowns in the third quarter , and New England would finally score a touchdown in the fourth quarter , but Patriots quarterback Steve Grogan was sacked in the end zone for 2 points .",The Bears ' 21 points in the third quarter is still a record for the most points scored in that period .
"Matthew Robert Bonner ( born April 5 , 1980 ) is an American professional basketball player with the San Antonio Spurs of the National Basketball Association ( NBA ) .","Matthew Robert Bonner ( born April 5 , 1980 ) is an American professional basketball player for the San Antonio Spurs of the National Basketball Association ( NBA ) ."
The Slovak men 's national ice hockey team is one of the best national ice hockey teams in the world .,It is one of the most successful national ice hockey teams in the world .
"The Indianapolis Colts are an American football team in Indianapolis , Indiana .","The Indianapolis Colts are an American football team based in Indianapolis , Indiana ."
"He played on the golf team at Milton High School , which also graduated two other PGA Tour members , Heath Slocum and Boo Weekley .","He played on the golf team at Milton High School , which had featured future PGA Tour members Heath Slocum and Boo Weekley just before he attended ."
"Besides Formula One , there were also DTM , FIA GT Championship races in its history .","Besides Formula One , it has also hosted the DTM and FIA GT Championship races ."
John LeClair • Eric Lindros • Alexander Mogilny,John LeClair • Eric Lindros • Jaromir Jagr
In his first match on the brand that night he defeated Shelton Benjamin but he lost a rematch to Benjamin on the July 9 episode of ECW .,"He had his first match that night , defeating Shelton Benjamin , although he lost a rematch to Benjamin on the July 9 episode of `` ECW '' ."
Woody Dumart • Max Bentley • Bobby Bauer,Woody Dumart • Syl Apps • Bobby Bauer
